Enjoyed1, Fit1, Relaxed1, Rested1, Sated1, Money1, Enjoyed2, Fit2, Relaxed2, Rested2, Sated2, Money2
0.9914716,0.9982223,0.9914716,0.9914716,0.9982223,20,0.9914716,0.9982223,0.9914716,0.9914716,0.9982223,20
0.9878616,0.9974702,1,1,0.9473488,20,0.8745699,0.9907849,0.7740712,0.7740712,0.9546054,55
0.9878616,0.9974702,1,1,0.9473488,20,0.8745699,0.9907849,0.7740712,0.7740712,0.9546054,55
0.9878616,0.9974702,1,1,0.9473488,20,0.8745699,0.9907849,0.7740712,0.7740712,0.9546054,55
0.9878616,0.9974702,1,1,0.9473488,20,0.8745699,0.9907849,0.7740712,0.7740712,0.9546054,55
0.7825152,0.992483,0.7946535,0.7946535,0.9062406,75,0.769917,0.9865767,0.5648971,0.5648971,0.9127695,90
0.7825152,0.992483,0.7946535,0.7946535,0.9062406,75,0.769917,0.9865767,0.5648971,0.5648971,0.9127695,90
0.7825152,0.992483,0.7946535,0.7946535,0.9062406,75,0.769917,0.9865767,0.5648971,0.5648971,0.9127695,90
0.7825152,0.992483,0.7946535,0.7946535,0.9062406,75,0.769917,0.9865767,0.5648971,0.5648971,0.9127695,90
0.5736808,0.9882818,0.5858191,0.5858191,0.8644726,130,0.756422,0.9837651,0.6514021,0.9014021,0.856472,90
0.5736808,0.9882818,0.5858191,0.5858191,0.8644726,130,0.756422,0.9837651,0.6514021,0.9014021,0.856472,90
0.5736808,0.9882818,0.5858191,0.5858191,0.8644726,130,0.756422,0.9837651,0.6514021,0.9014021,0.856472,90
0.5736808,0.9882818,0.5858191,0.5858191,0.8644726,185,0.756422,0.9837651,0.6514021,0.9014021,0.856472,90
0.3564865,0.9839122,0.3686248,0.3686248,0.8210326,185,0.7525427,0.9829566,0.6475228,0.8975228,0.8556635,90
0.3564865,0.9839122,0.3686248,0.3686248,0.8210326,185,0.6356502,0.9766566,0.4233877,0.6733877,0.8107561,125
0.3564865,0.9839122,0.3686248,0.3686248,0.8210326,185,0.6356502,0.9766566,0.4233877,0.6733877,0.8107561,125
0.3519266,0.9829621,0.364065,0.364065,0.8200825,185,0.6356502,0.9766566,0.4233877,0.6733877,0.8107561,125
0.3394918,0.9803712,0.4516302,0.7016302,0.7608865,185,0.6356502,0.9766566,0.4233877,0.6733877,0.8107561,125
0.3394918,0.9803712,0.4516302,0.7016302,0.7608865,185,0.6221464,0.9738433,0.5098836,1,0.7530416,125
0.3394918,0.9803712,0.4516302,0.7016302,0.7608865,185,0.6221464,0.9738433,0.5098836,1,0.7530416,125
0.3394918,0.9803712,0.4516302,0.7016302,0.7608865,185,0.6221464,0.9738433,0.5098836,1,0.7530416,125
0.3393582,0.9803434,0.5514966,1,0.7042523,185,0.6221464,0.9738433,0.5098836,1,0.7530416,125
0.3393582,0.9803434,0.5514966,1,0.7042523,185,0.6134638,0.9720344,0.5012011,0.9913175,0.7512327,125
0.3393582,0.9803434,0.5514966,1,0.7042523,185,0.4985853,0.9666303,0.2762505,0.7663668,0.7062026,160
0.3393582,0.9803434,0.5514966,1,0.7042523,185,0.4985853,0.9666303,0.2762505,0.7663668,0.7062026,160
0.320128,0.9763376,0.5322663,0.9807696,0.7002465,185,0.4985853,0.9666303,0.2762505,0.7663668,0.7062026,160
0.30661,0.9723849,0.5187481,0.9558856,0.6860645,175,0.4985853,0.9666303,0.2762505,0.7663668,0.7062026,160
0.49458,0.9698784,0.5567181,0.8888013,1,175,1,0.8550696,0.5627376,0.7419792,0.594642,160
0.4944458,0.9698505,0.6565839,1,0.9449165,175,1,0.7521429,0.8626052,0.7315569,0.4917152,160
0.4944458,0.9698505,0.6565839,1,0.9449165,175,0.9998584,0.7521134,1,0.7814153,0.4392068,160
0.4944458,0.9698505,0.6565839,1,0.9449165,175,0.9867231,0.7493768,0.9868646,0.76828,0.4364702,160
0.4944458,0.9698505,0.6565839,1,0.9449165,175,0.8813072,0.7450926,0.7764346,0.5578499,0.3943809,195
0.4763753,0.966086,0.6385136,0.9819297,0.941152,175,0.8813072,0.7450926,0.7764346,0.5578499,0.3943809,195
1,0.9647991,1,0.970517,0.9308035,155,0.8813072,0.7450926,0.7764346,0.5578499,0.3943809,195
1,0.9647991,1,0.970517,0.9308035,155,1,0.5348663,0.7762964,0.5472019,1,180
0.9807525,0.9607895,0.9807525,0.9512694,1,155,0.9894511,0.5326686,0.7657474,0.5366529,0.9978023,180
0.9806159,0.960761,1,1,0.9495791,155,0.9866334,0.5320814,0.8629298,0.8838353,0.9425359,180
0.9806159,0.960761,1,1,0.9495791,155,0.9866334,0.5320814,0.8629298,0.8838353,0.9425359,180
0.9806159,0.960761,1,1,0.9495791,155,0.9866334,0.5320814,0.8629298,0.8838353,0.9425359,180
0.9803452,0.9607046,1,1,0.8991297,155,0.9831547,0.5313566,0.8594511,0.8803566,0.9418111,180
0.9803452,0.9607046,1,1,0.8991297,155,0.9742076,0.5294926,0.950504,1,0.8852419,180
0.9803452,0.9607046,1,1,0.8991297,155,0.9742076,0.5294926,0.950504,1,0.8852419,180
0.9803452,0.9607046,1,1,0.8991297,155,0.9742076,0.5294926,0.950504,1,0.8852419,180
0.9757727,0.959752,0.9954275,0.9954275,0.8981771,155,0.9742076,0.5294926,0.950504,1,0.8852419,180
0.9680082,0.9581344,1,1,0.8461409,155,0.9704537,0.5287106,0.9467502,0.9962462,0.9992747,180
0.9680082,0.9581344,1,1,0.8461409,155,1,0.9240842,1,0.9232816,0.7916117,180
0.9680082,0.9581344,1,1,0.8461409,155,0.9966666,0.9233897,0.9966666,0.9199481,0.7909172,180
0.9680082,0.9581344,1,1,0.8461409,155,0.9863479,0.9212398,0.9863479,0.9096295,0.9887673,180
1,1,1,0.9365013,0.7433288,155,1,1,1,0.846126,0.8859539,180
0.991194,0.9981654,0.991194,0.9276953,0.7414942,155,0.9887802,0.9976624,0.9887802,0.8349062,0.8836163,180
0.9862382,0.997133,1,0.9727395,0.8903242,155,0.9863777,0.9951565,0.9863777,0.8124494,0.8630615,160
0.9861068,0.9971056,0.9998686,0.9726081,0.9902968,155,0.9861003,0.9930932,0.9861003,0.7921167,0.8429484,140
0.9859755,0.9970782,1,1,0.9401292,155,0.9858252,0.9910302,0.9858252,0.7717852,0.8228347,120
0.9722238,0.9942127,0.9862483,0.9862483,0.9971629,155,0.98555,0.9889671,0.98555,0.7514524,0.8027198,100
0.9587905,0.9904066,0.972815,0.9627417,0.9842907,145,0.9605479,0.9837582,0.9605479,0.7264503,0.7975109,100
1,1,1,0.9096552,0.8836476,145,0.944673,0.9804509,1,1,0.7436503,100
0.9924104,0.9964158,0.9924104,0.8820356,0.8620363,125,0.944673,0.9804509,1,1,0.7436503,100
0.9745605,0.992697,0.9745605,0.8641856,0.8583176,125,0.944673,0.9804509,1,1,0.7436503,100
0.963467,0.9903858,1,1,0.905641,125,0.944673,0.9804509,1,1,0.7436503,100
0.963467,0.9903858,1,1,0.905641,125,1,0.9804216,1,0.9496638,1,100
0.963467,0.9903858,1,1,0.905641,125,0.9998636,0.9803932,1,1,0.9497755,100
0.963467,0.9903858,1,1,0.905641,125,0.9998636,0.9803932,1,1,0.9497755,100
0.9633371,0.9903587,0.9998701,0.9998701,1,125,0.9998636,0.9803932,1,1,0.9497755,100
0.9508255,0.9877521,0.9873585,0.9873585,1,125,0.9998636,0.9803932,1,1,0.9497755,100
0.9380209,0.9850847,0.9745539,0.9745539,0.9999145,125,0.9905746,0.9784582,0.990711,0.990711,0.9980937,100
0.9205787,0.9814509,0.9571117,0.9571117,0.9988583,125,0.9873513,0.9777867,1,1,0.9472001,100
0.9137022,0.9800185,1,1,0.946563,125,0.9873513,0.9777867,1,1,0.9472001,100
0.9137022,0.9800185,1,1,0.946563,125,0.9873513,0.9777867,1,1,0.9472001,100
0.9137022,0.9800185,1,1,0.946563,125,0.9873513,0.9777867,1,1,0.9472001,100
0.9137022,0.9800185,1,1,0.946563,125,0.9700194,0.9741755,0.9826681,0.9826681,0.9964173,100
1,1,1,0.9364011,0.84373,125,0.8606308,0.9683495,0.7725075,0.7725075,0.9543134,135
0.9916809,0.9982668,0.9916809,0.9280819,0.8419968,125,0.8606308,0.9683495,0.7725075,0.7725075,0.9543134,135
